embryo_id,latent_status,chromosome,chromosome_state,latent_signal
sim_0001,abnormal,chr1,abnormal_event,0.44714246071219876
sim_0001,abnormal,chr2,baseline,0
sim_0001,abnormal,chr3,baseline,0
sim_0001,abnormal,chr4,baseline,0
sim_0001,abnormal,chr5,abnormal_event,-0.40174538030474843
sim_0001,abnormal,chr6,baseline,0
sim_0001,abnormal,chr7,baseline,0
sim_0001,abnormal,chr8,baseline,0
sim_0001,abnormal,chr9,baseline,0
sim_0001,abnormal,chr10,abnormal_event,-0.5076359312143364
sim_0001,abnormal,chr11,baseline,0
sim_0001,abnormal,chr12,baseline,0
sim_0001,abnormal,chr13,baseline,0
sim_0001,abnormal,chr14,baseline,0
sim_0001,abnormal,chr15,baseline,0
sim_0001,abnormal,chr16,abnormal_event,0.42059290428274565
sim_0001,abnormal,chr17,abnormal_event,-0.5128154965409522
sim_0001,abnormal,chr18,baseline,0
sim_0001,abnormal,chr19,baseline,0
sim_0001,abnormal,chr20,baseline,0
sim_0001,abnormal,chr21,baseline,0
sim_0001,abnormal,chr22,abnormal_event,0.5240437244631179
sim_0002,abnormal,chr1,baseline,0
sim_0002,abnormal,chr2,baseline,0
sim_0002,abnormal,chr3,baseline,0
sim_0002,abnormal,chr4,baseline,0
sim_0002,abnormal,chr5,baseline,0
sim_0002,abnormal,chr6,abnormal_event,-0.44344129091003964
sim_0002,abnormal,chr7,baseline,0
sim_0002,abnormal,chr8,baseline,0
sim_0002,abnormal,chr9,baseline,0
sim_0002,abnormal,chr10,baseline,0
sim_0002,abnormal,chr11,baseline,0
sim_0002,abnormal,chr12,baseline,0
sim_0002,abnormal,chr13,baseline,0
sim_0002,abnormal,chr14,baseline,0
sim_0002,abnormal,chr15,baseline,0
sim_0002,abnormal,chr16,abnormal_event,-0.6062517015329488
sim_0002,abnormal,chr17,baseline,0
sim_0002,abnormal,chr18,baseline,0
sim_0002,abnormal,chr19,baseline,0
sim_0002,abnormal,chr20,baseline,0
sim_0002,abnormal,chr21,baseline,0
sim_0002,abnormal,chr22,abnormal_event,-0.4731650664032525
sim_0003,normal,chr1,baseline,0
sim_0003,normal,chr2,baseline,0
sim_0003,normal,chr3,baseline,0
sim_0003,normal,chr4,baseline,0
sim_0003,normal,chr5,baseline,0
sim_0003,normal,chr6,baseline,0
sim_0003,normal,chr7,baseline,0
sim_0003,normal,chr8,baseline,0
sim_0003,normal,chr9,baseline,0
sim_0003,normal,chr10,baseline,0
sim_0003,normal,chr11,baseline,0
sim_0003,normal,chr12,baseline,0
sim_0003,normal,chr13,baseline,0
sim_0003,normal,chr14,baseline,0
sim_0003,normal,chr15,baseline,0
sim_0003,normal,chr16,baseline,0
sim_0003,normal,chr17,baseline,0
sim_0003,normal,chr18,baseline,0
sim_0003,normal,chr19,baseline,0
sim_0003,normal,chr20,baseline,0
sim_0003,normal,chr21,baseline,0
sim_0003,normal,chr22,baseline,0
sim_0004,normal,chr1,baseline,0
sim_0004,normal,chr2,baseline,0
sim_0004,normal,chr3,baseline,0
sim_0004,normal,chr4,baseline,0
sim_0004,normal,chr5,baseline,0
sim_0004,normal,chr6,baseline,0
sim_0004,normal,chr7,baseline,0
sim_0004,normal,chr8,baseline,0
sim_0004,normal,chr9,baseline,0
sim_0004,normal,chr10,baseline,0
sim_0004,normal,chr11,baseline,0
sim_0004,normal,chr12,baseline,0
sim_0004,normal,chr13,baseline,0
sim_0004,normal,chr14,baseline,0
sim_0004,normal,chr15,baseline,0
sim_0004,normal,chr16,baseline,0
sim_0004,normal,chr17,baseline,0
sim_0004,normal,chr18,baseline,0
sim_0004,normal,chr19,baseline,0
sim_0004,normal,chr20,baseline,0
sim_0004,normal,chr21,baseline,0
sim_0004,normal,chr22,baseline,0
sim_0005,abnormal,chr1,baseline,0
sim_0005,abnormal,chr2,baseline,0
sim_0005,abnormal,chr3,baseline,0
sim_0005,abnormal,chr4,abnormal_event,-0.5266099044423469
sim_0005,abnormal,chr5,baseline,0
sim_0005,abnormal,chr6,baseline,0
sim_0005,abnormal,chr7,baseline,0
sim_0005,abnormal,chr8,baseline,0
sim_0005,abnormal,chr9,baseline,0
sim_0005,abnormal,chr10,baseline,0
sim_0005,abnormal,chr11,baseline,0
sim_0005,abnormal,chr12,baseline,0
sim_0005,abnormal,chr13,baseline,0
sim_0005,abnormal,chr14,baseline,0
sim_0005,abnormal,chr15,baseline,0
sim_0005,abnormal,chr16,baseline,0
sim_0005,abnormal,chr17,baseline,0
sim_0005,abnormal,chr18,baseline,0
sim_0005,abnormal,chr19,abnormal_event,0.6119578853658006
sim_0005,abnormal,chr20,baseline,0
sim_0005,abnormal,chr21,baseline,0
sim_0005,abnormal,chr22,abnormal_event,0.2881240502409671
sim_0006,normal,chr1,baseline,0
sim_0006,normal,chr2,baseline,0
sim_0006,normal,chr3,baseline,0
sim_0006,normal,chr4,baseline,0
sim_0006,normal,chr5,baseline,0
sim_0006,normal,chr6,baseline,0
sim_0006,normal,chr7,baseline,0
sim_0006,normal,chr8,baseline,0
sim_0006,normal,chr9,baseline,0
sim_0006,normal,chr10,baseline,0
sim_0006,normal,chr11,baseline,0
sim_0006,normal,chr12,baseline,0
sim_0006,normal,chr13,baseline,0
sim_0006,normal,chr14,baseline,0
sim_0006,normal,chr15,baseline,0
sim_0006,normal,chr16,baseline,0
sim_0006,normal,chr17,baseline,0
sim_0006,normal,chr18,baseline,0
sim_0006,normal,chr19,abnormal_event,0.1709471859000893
sim_0006,normal,chr20,baseline,0
sim_0006,normal,chr21,baseline,0
sim_0006,normal,chr22,baseline,0
sim_0007,abnormal,chr1,baseline,0
sim_0007,abnormal,chr2,baseline,0
sim_0007,abnormal,chr3,baseline,0
sim_0007,abnormal,chr4,abnormal_event,-0.6299774645198165
sim_0007,abnormal,chr5,baseline,0
sim_0007,abnormal,chr6,baseline,0
sim_0007,abnormal,chr7,baseline,0
sim_0007,abnormal,chr8,baseline,0
sim_0007,abnormal,chr9,baseline,0
sim_0007,abnormal,chr10,abnormal_event,-0.3223830689066898
sim_0007,abnormal,chr11,baseline,0
